,id,standard_spelling_isv,isv,addition,partOfSpeech,type,en,sameInLanguages,genesis,ru,be,uk,pl,cs,sk,sl,hr,sr,mk,bg,cu,de,nl,eo,frequency,intelligibility,using_example
207,1133,popel,popel,,m.sg.,2,"ash, ashes",ub z,,"пепел, зола","попел, прысак","попіл, зола",popiół,popel,popol,!pepel,pepeo,пепео,пепел,!Ясен,!,!Asche,as,!cindro,5770,!,
208,11138,praca,praca,,f.,2,"work, labour, labor",ub z,,"работа, труд","праца, работа","праця, робота","praca, robota",práce,"práca, robota",!služba,rad,посао,"работа, труд","!труд, труд, труд",!,"!Arbeit, Arbeit, Arbeit","werk, arbeid","!laboro, laboro, laboro",7698,!,
209,23519,Praga,Praga,,f.sg.,1,Prague,,,Прага,Прага,Прага,Praga,Praha,Praha,!Praga,Prag,Праг,Прага,!Прага,!,!Prag,Praag,!Prago,7089,!,
210,3574,prah,pråh,,m.,1,"dust, powder",,,"пыль, прах","пыл, прох, порсць","пил, порох","proch, pył",prach,prach,"!prah, prah","prašina, prah","прах, прашина","прашина, прав","!на прах, на прах",!,"!Staub, Pulver","poeder, stof","!polvo, polvo",6198,!,
211,16345,prase,pråsę,,n.,1,piglet,,,поросёнок,"парася, парасё",порося,prosię,prase,prasa,!Presence,prase,прасе,прасе (нце),!Хрюня,!,!Ferkel,big,!porkido,3845,!,
212,2329,prezident,prezident,,m.anim.,1,president,,I,президент,прэзідэнт,президент,prezydent,prezident,prezident,!Predsednik,predsjednik,председник,претседател,!президент,!,!Präsident,president,!prezidanto,8485,!,
213,2247,princesa,princesa,,f.,1,princess,,I,принцесса,прынцэса,принцеса,księżniczka,princezna,princezná,!princesa,"princeza, kraljevna",принцеза,принцеза,!принцеса,!,!Prinzessin,prinses,!princino,6520,!,
214,23618,programist,programist,,m.anim.,1,programmer,,I,программист,"праграміст, праграмнік",програміст,programista,programátor,programátor,!razvijalec programske opreme,programer,програмер,програмер,!програмист,!,!Programmierer,programmeur,!programisto,5686,!,
215,22794,prosak,prośak,,m.anim.,1,beggar,ru~ be~ uk hsb sh bm,,"попрошайка, нищий","проська, канькала, жабрак, убогі",жебрак,żebrak,žebrák,žobrák,!berač,prosjak,просјак,просјак,!крадец на дребно,!,!Bettler,bedelaar,!almozulo,4984,!,
216,30033,prstenj,#pŕstėnj,(pŕstėnja),m.,1,ring,,,"кольцо, перстень","кольца, кола, пярсцёнак, жуковіна, сыгнет, персцень","перстень, каблучка",pierścień,prsten,prsteň,!obroč,prsten,прстен,прстен,!пръстен,!,!Ring,ring,!ringo,6458,!,
217,2246,pyl,pyl,,m.,2,dust,v pl,,пыль,пыл,пил,pył,prach,prach,prah,prašina,прашина,"прав, прашина",прах,прахъ,Staub,stof,polvo,7038,!,
218,171,radio,radio,,n.,1,radio,,I,радио,радыё,радіо,radio,rádio,rádio,!radio,radio,радио,радио,!радио,!,!Radio,radio,!radioaparato,7905,!,
219,3316,radosť,radosť,,f.,1,"pleasure, joy, gladness",,,радость,"радасць, весялосць",радість,radość,radost,radosť,!veselje,radost,радост,радост,"!удоволствие, радост, забавление",!,"!Freude, Freude, Freude","blijheid, vreugde","!plezuro, ĝojo, ĝojo",7022,!,
220,172,raketa,raketa,,f.,1,"rocket, missile",,I,ракета,ракета,ракета,rakieta,raketa,raketa,!raketa,raketa,ракета,ракета,"!ракета, ракета",!,"!Rakete, Rakete",raket,"!raketo, misilo",7066,!,
221,18585,ravnohalo,råvnohalo,,n.,5,pendulum,,,маятник,"ківач, хістальнік, маятнік",маятник,wahadło,kyvadlo,kyvadlo,"!nihalo, nihalo","klatno, njihalo","клатно, њихало","нишало, клатно",!махалото,!,!Pendel,pendel,!pendolo,3579,!,
222,1045,rebro,rebro,,n.,1,rib,,,ребро,"рэбра, рабрына, руб, кант",ребро,żebro,žebro,rebro,!rebro,rebro,ребро,ребро,!Риб,!,!Rippe,rib,!ripo,4807,!,
223,2285,rěka,rěka,,f.,1,river,,,река,"рака, рэчка","ріка, річка",rzeka,řeka,rieka,!reka,rijeka,река,река,!река,!,!Fluss,rivier,!rivero,7085,!,
224,3948,robot,robot,,m.,1,robot,,,робот,робат,робот,robot,robot,robot,!robot,robot,робот,робот,!робот,!,!Roboter,robot,!roboto,6480,!,
225,400,rog,rog,,m.,1,horn,,,рог,рог,ріг,róg,roh,roh,!rog,rog,рог,рог,!Рог,!,!Horn,hoorn,!korno,6849,!,
226,149,roza,roza,,f.,1,rose,,,роза,ружа,"троянда, роза",róża,růže,ruža,!vrtnica,ruža,ружа,"роза, трендафил",!Роза,!,Rose,roos,!rozo,6644,!,
227,18660,ručnik,rųčnik,,m.,1,towel,,,"полотенце, рушник","ручнік, уціральнік",рушник,ręcznik,ručník,uterák,"!washcloth, brisača",ručnik,"ручник, пешкир","крпа, пешкир",!кърпа,"брꙑсало, оуброусъ, оуброусьцъ",!Handtuch,handdoek,!mantukon,4168,!,
228,1269,Rus,Rus,,m.anim.,1,Russian,,,русский,"рускі, расіянін, расеец",росіянин,Rosjanin,Rus,Rus,!Ruski,Rus,Рус,Русин,руснак,!,!Russisch,Rus,!rusaj,6709,!,
229,32183,salata,salata,,f.,1,salad,ub pl j,,салат,салата,"салат, салата",sałata,salát,šalát,!solata,salata,салата,салата,!салата,!,!Salat,salade,!salato,6627,!,
230,37122,salata,salata,,f.,1,salad,v z j,I,салат,салата,"салат, салата",sałatka,salát,šalát,!solata,salata,салата,салата,!салата,!,!Salat,sla,!salato,6762,!,
231,35041,samokat,samokat,,m.,2,kick scooter,v,,самокат,самакат,самокат,hulajnoga,koloběžka,kolobežka,!skuter,"romobil, trotinet","тротинет, скутер, ролер","скутер, тротинет ( само се вози)",!скутер,!,!Tretroller,"autoped, step",!skutilo,3112,!,
232,814,samolet,samolet,,m.,1,airplane,,,самолёт,"самалёт, лятак",літак,samolot,letadlo,lietadlo,"letalo, aeroplan, avion","zrakoplov, avion, aeroplan","ваздухоплов,  зракоплов, летилица, летелица, аероплан, авион",авион,!самолет,!,!Flugzeug,vliegtuig,!aviadilo,5830,!,
233,187,selo,selo,,n.,1,village,,,"деревня, село","вёска, сяло, сяліба, селішча, паселішча, станіца, слабада","село, селище, слобода",wieś,vesnice,dedina,"!vasi, ki jih (arch.)",selo,"село, вас (арх.)",село,!село,!,Dorf,dorp,!vilaĝo,6862,!,
234,1389,sestra,sestra,,f.,1,sister,,,сестра,сястра,сестра,siostra,sestra,sestra,!sestra,sestra,сестра,сестра,!сестра,сестра,Schwester,"zuster, zus",!fratino,7685,!,
235,1684,slon,slon,,m.anim.,1,elephant,,,слон,слон ,слон,słoń,slon,slon,slon,slon,слон,слон,!слон,!,!Elefant,olifant,!elefanto,6542,!,
236,26370,smrěk,smrěk,,m.,1,spruce,,,"ель, ёлка","елка, яліна, ёлка (навагодняя)","ялина, ялинка",świerk,smrk,smrek,"!smreka, bor","smreka, smrča, smrčika, šmrika","смрча, смрека","смрча, оморика",!ядоха,!,Fichte,spar,!piceo,3727,!,
237,2070,smrť,smŕť,,f.,1,death,,,смерть,смерць,смерть,śmierć,smrt,smrť,!smrt,smrt,смрт,смрт,!смъртта,!,Tod,dood,!morto,8314,!,
238,2209,sněg,sněg,,m.,1,snow,,,снег,"снег, замёт (дыял.)",сніг,śnieg,sníh,sneh,!sneg,snijeg,снег,снег,!сняг,!,Schnee,sneeuw,!neĝo,7086,!,
239,30740,sočevica,sočevica,,f.,1,lentil,v z yu,,чечевица,"сачавіца, сачаўка",!сочевиця,soczewica,čočka,šošovka,!Leča (sredstva),"leća, sočivica, sočivo",сочиво (биљка),леќа,!леща,!,!Linse,linze,!lentoj,4444,!,
240,1441,solj,solj,,f.,1,salt,,,соль,соль,сіль,sól,sůl,soľ,"!sol, sol",sol,"со, сол",сол,!сол,!,Salz,zout,!salon,7388,!,
241,560,solnce,sȯlnce,,n.,1,sun,,,солнце,сонца,сонце,słońce,slunce,slnko,!Sun,Sunce,сунце,сонце,!слънце,!,!Sonne,zon,!sunon,7806,!,
242,23591,sosavec,#sȯsavėc,,m.anim.,1,mammal,,,млекопитающее,"сысун, млекаспажывец",ссавець,ssak,savec,cicavec,sesalec,sisavac,"сисар, сисавац",цицач,бозайник,!,"Säugetier, Säuger",zoogdier,!mamulo,3919,!,
243,26226,spodnica,spodnica,,f.,2,skirt,ub pl mk~,,юбка,"спадніца, юбка",спідниця,spódnica,sukně,sukňa,!krilo,"suknja, kiklja, šos",сукња,"здолниште, сукња",!пола,!,!Rock,rok,!jupo,5182,!,
244,3081,srdce,sŕdce,,n.,1,heart,v z j,,сердце,сэрца,серце,serce,srdce,srdce,!srce,srce,срце,срце,сърце,!,Herz,hart,!koro,8180,!,
245,2260,srěbro,srěbro,,n.sg.,1,silver,,,серебро,"срэбра, серабро ",срібло,srebro,stříbro,striebro,!srebrna,srebro,сребро,сребро,!сребро,!,Silber,zilver,!arĝento,6702,!,
246,1408,steklo,steklo,,n.,1,glass (material),,,стекло,"шкло, шыбіна (напр.: акна, аўтамабіля), шыбка (ласк.) ",скло,szkło,sklo,sklo,!steklo,staklo,стакло,стакло (материјал),!стъкло (материал),!,Glas,glas (materiaal),!vitro (materialo),6817,!,
247,34942,strělec,#strělėc,,m.anim.,1,"marksman, shooter, rifleman",v z j,,стрелок,стралок,"стрілець, стрілок",strzelec,střelec,strelec,!Strelec,strijelac,стрелац,стрелец,"!стрелял, стрелял, стрелял",!,"!Schütze, Shooter, rifleman",schutter,"!pafisto, pafanto, fusilero",6000,!,
248,12672,strěľnik,strěľnik,,m.anim.,1,rifleman,,,стрелок,стралок ,"стрілок, стрілець","strzelec, karabinier",střelec,strelec,!Strelec,strijelac,стрелац,"стрелач, стрелец (пешадија)",!Ружейников,!,!Schütze,schutter,!fusilero,4518,!,
249,32086,supa,supa,,f.,1,soup,v pl sh bm,,суп,"суп, зупа (дыял.) ",суп,zupa,polévka,polievka,!juha,juha,супа,супа,!супа,!,!Suppe,soep,!supo,6395,!,
250,35239,superheroj,superheroj,,m.anim.,1,superhero,v j,,супергерой,супергерой ,супергерой,superbohater,superhrdina,superhrdina,"!superheroj, superheroj",superheroj,"суперјунак, суперхерој",суперхерој,!супергерой,!,!Superheld,superheld,!superhéroe,3822,!,
251,3284,světlo,světlo,,n.,1,light,,,свет,святло ,світло,światło,světlo,svetlo,!svetloba,svjetlo,светло,"светло, светлина",!светлина,!,!Licht,licht,!lumo,7714,!,
252,1822,syr,syr,,m.,1,cheese,,,сыр,сыр,сир,ser,sýr,syr,!sir,sir,сир,сирење,!сирене,!,!Käse,kaas,!fromaĝo,7624,!,
253,23264,škarpetka,škarpetka,,f.,2,sock,ub pl,T,носок,"шкарпэтка, шкарпэта, насок, мысок ",шкарпетка,skarpetka,ponožka,ponožka,!nogavica,čarapa,чарапа,чорапа,чорап,!,!Socke,sok,!ŝtrumpeto,3871,!,
254,1584,škola,škola,,f.,1,school,,I,школа,"школа, вучэльня ",школа,szkoła,škola,škola,!šola,škola,школа,"училиште, школо",!училище,!,!Schule,school,!lernejo,8249,!,
255,4667,talirka,taliŕka,,f.,2,plate,v pl cz,,тарелка,талерка ,тарілка,"talerz, talerzyk",talíř,tanier,krožnik,tanjur,"тањир, тањур","чинија, тањир",чиния,"тарелка, торѣль",Teller,bord,telero,4779,!,
256,4640,telefon,telefon,,m.,1,"telephone, phone",,I,телефон,тэлефон ,телефон,telefon,telefon,telefón,!telefon,telefon,телефон,телефон,телефон,!,Telefon,telefoon,"!telefono, telefono",7973,!,
257,1969,tigr,tigr,,m.anim.,1,tiger,,I,тигр,тыгр ,тигр,tygrys,tygr,tiger,tiger,tigar,тигар,тигар,!тигър,!,!Tiger,tijger,!tigro,6272,!,
258,18970,tipkovnica,tipkovnica,,f.,3,keyboard,yu,,клавиатура,клавіятура ,клавіатура,klawiatura,klávesnice,klávesnica,"tipkovnica, klaviatura",tipkovnica,"тастатура, клавијатура",тастатура,!клавиатура,!,!Tastatur,toetsenbord,!klavaro,4409,!,
259,30897,tomat,tomat,,m.,2,tomato,v bm,I,"помидор, томат","памідор, тамат ","помідор, томат",pomidor,rajče,"paradajka, rajčina","!paradižnik, rdeča jajčevci, paradižnik","paradajz, rajčica, pomidor","парадајз, црвени патлиџан, рајчица","домат, патлиџан",домат,!,Tomate,tomaat,!tomato,3544,!,
260,34561,topolja,topolja,,f.,1,poplar,v z j,,тополь,таполя ,тополя,topola,topol,topoľ,"!topol, topol",topola,"топола, јаблан",топола,"топола, кавак",!,!Pappel,populier,!poplo,3842,!,
261,12,trava,trava,,f.,1,grass,,,трава,трава ,трава,trawa,tráva,tráva,!trava,trava,трава,трева,трева,!,Gras,gras,!herbo,7064,!,
262,1601,tulipan,tulipan,,m.,1,tulip,,I,тюльпан,цюльпан ,тюльпан,tulipan,tulipán,tulipán,!mast,"tulipan, lala","лала, тулипан",лале,лале,!,!Tulpe,tulp,tulipo,4191,!,
263,30934,ubrus,ubrus,,m.,4,towel,cu,,полотенце,"ручнік, трапкач, хвастач (дыял.), скарач (дыял.) ",рушник,ręcznik,ručník,uterák,"!brisače, prtiček",ručnik,"пешкир, убрус","крпа, пешкир","кърпа, пешкир","брꙑсало, оуброусъ, оуброусьцъ",!Handtuch,handdoek,!mantukon,4030,!,
264,916,učitelj,učitelj,,m.anim.,1,teacher,,,"учитель, преподаватель","настаўнік, выкладнік, выкладчык, выкладаннік","вчитель, учитель, викладач, наставник, педагог",nauczyciel,učitel,učiteľ,!učitelj,"učitelj, nastavnik",учитељ,учител,!учител,!,!Lehrer,"leraar, onderwijzer, docent",instruisto,7120,!,
265,830,uho,uho,(uha/ušese; pl. uši),n.,1,ear,,,ухо,вуха ,вухо,ucho,ucho,ucho,!uho,uho,ухо,уво,ухо,!,!Ohr,oor,!orelon,6489,!,
266,13268,umětnik,umětnik,,m.anim.,2,artist,cs~ yu mk,,"артист, художник","артыст, мастак","артист, художник, митець",artysta,umělec,umelec,umetnik,umjetnik,уметник,"уметник, изведувач, артист, актер","творец, художник",!,Künstler,"kunstenaar, artiest",artisto,6646,!,
267,30955,upyr,upyŕ,,m.anim.,1,vampire,,,"упырь, вампир","упір, ваўкалак, вапір, насферату ","упир, вампір",wampir,upír,upír,"!vampir, duhovi","vampir, utvara","вампир, утвара",вампир,!вампир,!,!Vampir,vampier,!vampira,4469,!,
268,20811,veľryb,veľryb,,m.anim.,2,whale,z,,кит,кіт ,кит,wieloryb,velryba,veľryba,!kit,kit,кит,кит,кит,!,!Wal,walvis,!balenon,6364,!,
269,19177,Venera,Venera,,f.,1,Venus,,,Венера,"Венера, Мілавіца ",Венера,Wenus,Venuše,Venuša,!Venus,Venera,Венера,Венера,Венера,!,Venus,Venus,!Venuso,5784,!,
270,2429,věra,věra,,f.,1,"belief, faith, trust",,,вера,вера ,віра,wiara,víra,viera,!vera,vjera,вера,"вера, верба",вяра,!,"!Glauben, Glauben, Vertrauen","geloof, trouw, vertrouwen","!kredo, fido, konfido",7665,!,
271,19179,veriga,veriga,,f.,2,chain,v j,,цепь,"ланцуг, цэп, вярыга (рэліг.)",ланцюг,łańcuch,řetěz,reťaz,veriga,"lanac, veriga","верига, ланац, синџир","верига, синџир, ланец",верига,верига,Kette,"ketting, keten",ĉeno,5404,!,
272,1678,větr,větr,,m.,1,wind,,,ветер,"вецер, ветравей ",вітер,wiatr,vítr,vietor,!veter,vjetar,ветар,"ветер, ветар",вятър,!,Wind,wind,!vento,7266,!,
273,1702,vezenj,vęzėnj,,m.anim.,2,prisoner,z j~,,"узник, заключённый","вязень, зняволены ","!в'язень, ув'язнений",więzień,vězeň,väzeň,!zapornik,"sužanj, uznik, zatvorenik",затвореник,затвореник,затворник,!,!Häftling,"gevangene, gedetineerde",!malliberulo,5572,!,
274,2032,věža,věža,,f.,1,tower,,,башня,вежа ,"башта, вежа",wieża,věž,veža,"!Stolp, stolp",toranj,"кула, торањ",кула,кула,"башнѧ, вѣжа, нꙑ́ръ, пи́ргъ, столпъ",!Turm,toren,!turo,6958,!,
275,19220,Viena,Viena,,f.sg.,1,Vienna,,,Вена,Вена,Відень,Wiedeń,Vídeň,Viedeň,!Dunaj,Beč,Беч,Виена,Виена,!,!Wien,Wenen,!Vieno,6903,!,
276,1400,vino,vino,,n.,1,wine,,,вино,віно,вино,wino,víno,víno,!vino,vino,вино,вино,вино,!,Wein,wijn,!vinon,7414,!,
277,6196,vlak,vlåk,,m.,2,train,z j,,поезд,"цягнік, поезд ","потяг, поїзд",pociąg (pojazd),vlak,vlak,"!vlak, vlak",vlak,"воз, влак",воз,влак,!,!Zug,trein,!trajno,6959,!,
278,2537,voda,voda,,f.,1,water,,,вода,вада ,вода,woda,voda,voda,!voda,voda,вода,вода,вода,вода,Wasser,water,!akvo,8584,!,
279,2535,vojna,vojna,,f.,1,war,,,война,вайна ,війна,wojna,válka,vojna,!vojna,rat,рат,војна,война,!,Krieg,oorlog,!milito,8631,!,
280,1914,vozduh,vȯzduh,,m.,1,air,,,воздух,паветра,повітря,powietrze,vzduch,vzduch,zrak,zrak,ваздух,воздух,въздух,!,!Luft,lucht,!aero,7664,!,
281,13825,vrag,vråg,,m.anim.,1,"foe, enemy",,,"враг, неприятель",вораг,ворог,wróg,nepřítel,nepriateľ,"!sovražnik, nasprotnik, hudič (arch.)","neprijatelj, dušmanin","непријатељ, противник, враг (арх.)",непријател,враг,!,!Feind,vijand,"!malamiko, malamiko",5560,!,
282,3109,vrata,vråta,,n.pl.,2,door,j,,"двери, дверь, ворота",дзверы ,"двері, ворота, брама",drzwi,dveře,dvere,!vrata,vrata,врата,врата,врата,!,!Tür,"deur, poort",!pordo,7782,!,
283,20819,vsemir,vsemir,,m.,2,universe,cs sh,,"вселенная, мир","сусвет, свет ","!всесвіт, світ","wszechświat, uniwersum",vesmír,vesmír,"!kozmos, vesolje, prostor","svemir, kosmos, univerzum","свемир, васиона, космос","вселена, универзум",вселена,!,!Universum,universum,!universo,5778,!,
284,19257,vsesvět,vsesvět,,m.,1,universe,,,"вселенная, мир","сусвет, свет ",всесвіт,"wszechświat, uniwersum",vesmír,vesmír,"!kozmos, vesolje, prostor","svemir, kozmos, univerzum","свемир, васиона, космос","вселена, универзум",вселена,!,!Universum,universum,!universo,5349,!,
285,3115,Vugrec,Vųgrec,,m.anim.,1,Hungarian,,,венгр,"вугорац, венгерац, венгр ",угорець,Węgier,Maďar,Maďar,!Madžarski,Mađar,Мађар,Унгарец,"унгарец, маджар",!,!ungarisch,Hongaar,!hungara,4828,!,
286,14072,zagraničnik,zagraničnik,,m.anim.,2,foreigner,z,,"иностранец, чужеземец","замежнік, іншаземец, іншакраінец, чужаземец","!іноземець, чужоземець",obcokrajowiec,cizinec,cudzinec,"!tujec, tujec","stranac, tuđinac","странац, туђинац","странец, туѓинец, јабанџија",чужденец,!,!Ausländer,buitenlander,!fremdulo,3936,!,
287,19384,zaključiľnik,zaključiľnik,,m.anim.,5,prisoner,,,"заключённый, осуждённый, узник, зэк, зэка","зняволены, асуджаны, вязень, зэк  ","!ув'язнений, засуджений, в'язень, зэк, зэка",więzień,vězeň,väzeň,!zapornik,zatvorenik,затвореник,затвореник,затворник,!,!Häftling,"gevangene, gedetineerde",!malliberulo,5395,!,
288,1901,zakon,zakon,,m.,1,"law, act (law), lex",v cs j,,закон,"закон, статут","закон, статут","prawo, ustawa",zákon,zákon,!zakon,zakon,закон,"закон, статут",закон,!,"!Gesetz, Satzung",wet,"!leĝo, ago (leĝo), lex",7951,!,
289,20832,zamok,zamȯk,,m.,1,lock,,,замо́к,замок ,замо́к,zamek,zámek,zámka,"!zaklepanje, ključavnica","zapor, zapirač, zatvarač, brava, lokot","катанац, локот","катанец, брава",катинар,!,!sperren,slot,!seruro,3553,!,
290,20834,zebra,zebra,,f.,1,zebra,v z j,I,зебра,зебра ,!зебра,zebra,zebra,zebra,!zebra,zebra,зебра,зебра,зебра,!,!Zebra,zebra,zebro,5541,!,
291,14218,Zemja,Zemja,,f.,1,Earth,v z j,,Земля,Зямля ,Земля,Ziemia,Země,Zem,Zemlja,Zemlja,Земља,Земја,Земя,!,!Erde,Aarde,Tero,8198,!,
292,1513,zima,zima,,f.,1,winter,v z j,,зима,зіма ,зима,zima,zima,zima,!zima,zima,зима,зима,зима,!,Winter,winter,!vintro,7042,!,
293,3046,zlato,zlåto,,n.sg.,1,gold,v z j,,золото,золата ,золото,złoto,zlato,zlato,zlato,zlato,злато,злато,злато,!,Gold,goud,!oro,7599,!,
294,36297,zombi,zombi,,m.anim.indecl.,1,zombie,v z j,I,зомби,зомбі,зомбі,zombi,zombie,"zombie, živá mŕtvola",zombi,zombi,зомби,зомби,зомби,!,Zombie,zombie,zombio,5824,!,
295,1777,zrcalo,zŕcalo,,n.,1,mirror,,,зеркало,"люстэрка, люстра","дзеркало, люстро (діал.)",lustro,zrcadlo,zrkadlo,!Ogledalo ogledalo,"ogledalo, zrcalo","огледало, зрцало",огледало,огледало,!,Spiegel,spiegel,!spegulo,6244,!,
296,1848,zub,zųb,,m.,1,tooth,,,зуб,зуб,зуб,ząb,zub,zub,zob,zub,зуб,заб,зъб,!,Zahn,tand,!denton,6862,!,
297,1889,zvězda,zvězda,,f.,1,star,ru z j,,звезда,зорка,"зоря, зірка",gwiazda,hvězda,hviezda,zvezda,zvijezda,звезда,ѕвезда,звезда,ѕвѣзда,Stern,ster,stelo,7719,!,
298,22795,žebrak,žebrak,,m.anim.,2,beggar,ub z,,"нищий, попрошайка, бедняк","жабрак, убогі, проська, канькала, бядняк, галетнік",жебрак,żebrak,žebrák,žobrák,berač,prosjak,просјак,просјак,просяк,!,!Bettler,bedelaar,almozulo,4879,!,
299,395,želězo,želězo,,n.sg.,1,iron,v z j,,железо,жалеза,залізо,żelazo,železo,železo,železo,željezo,"гвожђе, железо",железо,желязо,желѣзо,Eisen,ijzer,fero,5956,!,
300,20837,žolv,žȯlv,,f.,1,turtle,z j,,черепаха,чарапаха,черепаха,żółw,želva,korytnačka,želva,kornjača,корњача,желка,"костенурка, желва",!,Schildkröte,schildpad,testudo,5329,!,
301,15743,žuk,žuk,,m.anim.,2,bug,v pl,S,жук,жук,жук,żuk,brouk,chrobák,hrošč,buba,буба,бубачка,"насекомо, буболечка",!,!Fehler,"kever, tor",koleoptero,5790,!,
302,33084,aerodrom,aerodrom,,m.,1,aerodrome,,I,аэродром,"аэрадром, лётнішча, лецішча","аеродром, летовище",lotnisko,"letiště, aerodrom","letisko, aerodróm",letališče,"aerodrom, zračna luka",аеродром,аеродром,летище,!,Flughafen,luchthaven,"aerodromo, flughaveno",5521,!,
303,6129,aeroplan,aeroplan,,m.,1,"airplane, plane",,I,"самолёт, аэроплан","аэраплан, самалёт","аероплан, літак",samolot,"letadlo, aeroplán","lietadlo, aeroplán","letalo, avion","zrakoplov, avion","авион, ваздухоплов, летилица","аероплан, авион",самолет,!,Flugzeug,vliegtuig,"aviadilo, aeroplano",4333,!,
304,99,aeroport,aeroport,,m.,1,airport,,I,аэропорт,аэрапорт,"аеропорт, летовище",lotnisko,letiště,letisko,letališče,"zračna luka, aerodrom",аеродром,аеродром,летище,!,Flughafen,"luchthaven, vliegveld",flughaveno,7062,!,
305,35786,aktivitet,aktivitet,,m.,3,activity,cs,I,активность,актыўнасць,активність,aktywność,"činnost, aktivita","činnosť, aktivita","dejavnost, aktivnost","aktivnost, djelatnost",активност,активност,активност,!,Aktivität,activiteit,aktiveco,7125,!,
306,5142,aktivnosť,aktivnosť,,f.,1,activity,v pl j,I,активность,актыўнасць,активність,aktywność,"aktivita, činnost","aktivita, činnosť","aktivnost, dejavnost","aktivnost, djelatnost",активност,активност,активност,!,Aktivität,activiteit,aktiveco,7125,!,
308,34899,aktualizacija,aktualizacija,,f.,1,update,v z j,I,"актуализация, обновление","актуалізацыя, абнаўленне","актуалізація, оновлення",aktualizacja,aktualizace,aktualizácia,posodobitev,ažuriranje,ажурирање,актуелизација. ажурирање,актуализация,!,Aktualisierung,"actualisatie, update","ĝisdatigo, aktualigo",4651,!,
309,24208,akustika,akustika,,f.,1,acoustics,v z j,I,акустика,акустыка,акустика,akustyka,akustika,akustika,akustika,akustika,акустика,акустика,акустика,!,Akustik,akoestiek,akustiko,2873,!,
310,24224,alarm,alarm,,m.,1,alarm,,,"тревога, сигнал тревоги","трывога, сігнал трывогі","тривога, сигнал тривоги",alarm,"alarm, signalizace",alarm,alarm,"alarm, upozorenje","аларм, узбуна","аларм, тревога","аларма, тревога",!,Alarm,alarm,alarmo,5979,!,
311,24231,aleja,aleja,,f.,1,"avenue, alley",v z j,I,"аллея, бульвар","алея, прысады, дарожка",алея,aleja,"alej, třída, bulvár, avenue","aleja, bulvár, trieda (široká ulica)","avenija, aleja, drevored, bulvar","aleja, avenija",алеја,алеја,"булевард, алея",!,Allee,laan,"aleo, korso, avenuo (larĝa strato), bulvardo",4575,!,
313,36963,arena,arena,,f.,1,arena,v z j,I,арена,арэна,арена,arena,aréna,aréna,arena,"arena, borilište, igralište, ring, dvorana",арена,арена,арена,!,!Arena,arena,!areno,5886,!,
314,19638,argument,argument,,m.,1,argument,,I,аргумент,аргумент,аргумент,argument,argument,argument,argument,argument,аргумент,аргумент,аргумент,!,Argument,argument,argumento,7099,!,
315,21256,aritmetika,aritmetika,,f.sg.,1,arithmetics,,I,арифметика,арыфметыка,арифметика,arytmetyka,aritmetika,aritmetika,aritmetika,aritmetika,аритметика,аритметика,аритметика,а҆реѳметика,Arithmetik,aritmetica,aritmetiko,3029,!,
316,24330,astronavt,astronavt,,m.anim.,1,astronaut,,I,астронавт,астранаўт,астронавт,astronauta,astronaut,astronaut,astronavt,astronaut,астронаут,астронаут,астронавт,!,"Astronaut, Kosmonaut, Raumfahrer",astronaut,"astronaŭto, astronaĝisto",5511,!,
317,32,ataka,ataka,,f.,2,attack,,I,атака,атака,атака,atak,útok,útok,napad,napad,напад,"атака, напад","атака, нападение",претꙑка́нїе,"Attacke, Angriff",aanval,atako,7868,!,
318,87,avtor,avtor,,m.anim.,1,author,,I,автор,аўтар,автор,autor,autor,autor,avtor,autor,аутор,автор,автор,!,"Autor, Verfasser",auteur,"aŭtoro, verkisto",8149,!,
319,15772,avtoritet,avtoritet,,m.,1,authority,,I,авторитет,аўтарытэт,авторитет,autorytet,autorita,autorita,avtoriteta,"autoritet, vlast",ауторитет,авторитет,авторитет,!госпо́дїе,Behörde,autoriteit,"aŭtoritato, aŭtoritatulo",6452,!,
320,15775,avtoritetnosť,avtoritetnosť,,f.sg.,2,authority,,I,авторитетность,аўтарытэтнасць,"авторитет, авторитетність",autorytet,"oprávnění, pravomoc","oprávnenie, právomoc",avtoriteta,autoritet,ауторитет,авторитет,"власт, авторитет",!,Autorität,"autoriteit, gezag",!aŭtoritato,5690,!,
321,2435,baba,baba,,f.,1,"grandmother, grandma",,,"бабушка, бабуля, баба (детск.)","баба, бабка, бабуля","баба, бабуся",babcia,"babička, babi, bába ","babka, stará mama, babička, starká","babica, babi, stara mama, oma, nona",baka,"баба, бака",баба,баба,!,Großmutter,"grootmoeder, oma",avino,5916,!,
322,6460,babica,babica,,f.,2,grandmother,,,бабушка,"бабця, бабуська, бабка","бабуся, бабця",babcia,babička,"babka, stará mama, babička, starká","babica, babi, stara mama, oma, nona",baka,бака,баба,бабичка,!,Großmutter,"grootmoeder, oma",avino,5816,!,
323,6459,babuška,babuška,,f.,3,grandma,ru,,бабушка,"бабуля, бабця",бабуся,babcia,babička,"babka, babička","babica, babi",baka,бака,"баба, бабичка","бабичка, бабишкера",!,"Oma, Großmutter","grootmoeder, oma","avino, avinjo",6085,!,
